pH,[H3O+],[OH-],D,alpha H3PO4,alpha H2PO4,alpha HPO4,alpha PO4,phi,V_b
4.6,2.51188643150958E-05,3.98107170553497E-10,7.66050905483148E-12,0.00206891367286,0.990244342248706,0.007686743154284,9.24149791243492E-10,1.00410969106589,10.0410969106589
4.7,1.99526231496888E-05,5.01187233627271E-10,4.84101772678182E-12,0.001640829014795,0.988697251973957,0.009661917548857,1.46239039875353E-09,1.00682260288705,10.0682260288705
4.8,1.58489319246112E-05,6.30957344480192E-10,3.06108632209674E-12,0.001300542123493,0.986562090262605,0.012137365301175,2.31272728009584E-09,1.00988436324147,10.0988436324147
4.9,1.25892541179417E-05,7.94328234724279E-10,1.93696807962435E-12,0.00103009560971,0.983733670166004,0.015236230569369,3.65491714515727E-09,1.01344914164232,10.1344914164232
5,1E-05,9.99999999999996E-10,1.22670672985008E-12,0.000815190767008,0.980074866601861,0.019109936860022,5.77110866971977E-09,1.01769304850731,10.1769304850731
5.1,7.94328234724285E-06,1.25892541179416E-09,7.77699640708905E-13,0.000644448328625,0.975412016826595,0.023943525741706,9.10307459752479E-09,1.02282076178367,10.2282076178367
5.2,6.30957344480197E-06,1.5848931924611E-09,4.93672371926935E-13,0.000508816489305,0.969529833023515,0.029961336146782,1.43403970860439E-08,1.02907223515191,10.2907223515191
5.3,5.01187233627276E-06,1.99526231496887E-09,3.13870047210238E-13,0.000401097659042,0.962166268251527,0.037432611534052,2.25553789116404E-08,1.03672912627725,10.3672912627725
5.4,3.981071705535E-06,2.51188643150956E-09,1.99941717618203E-13,0.000315570633281,0.953008076884599,0.046676317074513,3.5407607417677E-08,1.04612026874482,10.4612026874482
5.5,3.16227766016841E-06,3.16227766016835E-09,1.27671175730812E-13,0.000247689240901,0.941688229731936,0.05806402557645,5.54507139400678E-08,1.05762507987126,10.5762507987126
5.6,2.5118864315096E-06,3.98107170553494E-09,8.17620500678582E-14,0.000193842154294,0.92778688205545,0.072019189204146,8.65861097901265E-08,1.07167324840325,10.7167324840325
5.7,1.9952623149689E-06,5.01187233627267E-09,5.25483110069419E-14,0.000151161515851,0.910838204218245,0.089010499543061,1.34722842812325E-07,1.08873842632941,10.8873842632941
5.8,1.58489319246113E-06,6.30957344480187E-09,3.3918857646156E-14,0.000117370453541,0.890345940275006,0.109536480553991,2.08717460879574E-07,1.10932308676189,11.0932308676189
5.9,1.25892541179418E-06,7.94328234724272E-09,2.20078187480721E-14,9.06615206990348E-05,0.865810801050062,0.134098215750025,3.21679214322934E-07,1.13393146320132,11.3393146320132
6,1.00000000000001E-06,9.99999999999988E-09,1.43678802409522E-14,6.95996892533788E-05,0.836772310497601,0.163157597085079,4.92728066013738E-07,1.16302796887507,11.6302796887507
6.09999999999999,7.94328234724292E-07,1.25892541179415E-08,9.4483711536464E-15,5.30448291538451E-05,0.802865978371782,0.197080227520937,7.49278127279031E-07,1.1969802370379,11.969802370379
6.19999999999999,6.30957344480202E-07,1.58489319246109E-08,6.26566757949574E-15,4.00896855704535E-05,0.76389321049996,0.236065569933614,1.1298808553152E-06,1.23598938191446,12.3598938191446
6.29999999999999,5.0118723362728E-07,1.99526231496885E-08,4.19498224734068E-15,3.00102679240727E-05,0.719896186048592,0.2800721160821,1.68760138337397E-06,1.28001525940997,12.8001525940997
6.39999999999999,3.98107170553503E-07,2.51188643150954E-08,2.8387851939526E-15,2.22263151796175E-05,0.671223987648824,0.328751292202416,2.49383358026616E-06,1.32871044820449,13.2871044820449
6.49999999999999,3.16227766016843E-07,3.16227766016833E-08,1.94361337815283E-15,1.62700961812369E-05,0.618571804522184,0.38140828296081,3.64242082474734E-06,1.38138113597717,13.8138113597717
6.59999999999999,2.51188643150962E-07,3.9810717055349E-08,1.34744415877458E-15,1.17622179898168E-05,0.562975148238493,0.437007835553733,5.2539897833538E-06,1.43699297493306,14.3699297493306
6.69999999999999,1.99526231496892E-07,5.01187233627263E-08,9.46380256350054E-16,8.39333058138644E-06,0.505748180090537,0.494235946015127,7.48056375472693E-06,1.49423281094064,14.9423281094064
6.79999999999999,1.58489319246114E-07,6.30957344480181E-08,6.73541461666942E-16,5.91065573852347E-06,0.448369089696138,0.551614488850724,1.05107973996441E-05,1.55162334996141,15.5162334996141
6.89999999999999,1.25892541179419E-07,7.94328234724266E-08,4.85676069183135E-16,4.10821624035307E-06,0.392331605130996,0.607649710151484,1.45765012794401E-05,1.60767168503219,16.0767168503219
6.99999999999999,1.00000000000002E-07,9.9999999999998E-08,3.54657404451587E-16,2.81962250737829E-06,0.338993185966763,0.660984033012053,1.99613986765298E-05,1.6610211361869,16.610211361869
7.09999999999999,7.94328234724298E-08,1.25892541179414E-07,2.6207405181429E-16,1.91238785433994E-06,0.289451614830894,0.71051945958481,2.70131964413555E-05,1.7105746913039,17.105746913039
7.19999999999999,6.30957344480207E-08,1.58489319246108E-07,1.95781178695577E-16,1.28300710428121E-06,0.244471963807557,0.755490593132105,3.61600532339697E-05,1.75556807461003,17.5556807461003
7.29999999999999,5.01187233627284E-08,1.99526231496883E-07,1.47696478048362E-16,8.52373345952113E-07,0.204470124156467,0.795481090994495,4.79324756919611E-05,1.79558625668862,17.9558625668862
7.39999999999999,3.98107170553507E-08,2.51188643150952E-07,1.12387179812913E-16,5.61413984700542E-07,0.169544312895411,0.83039213400547,6.29916851337164E-05,1.83053199419862,18.3053199419862
7.49999999999999,3.16227766016846E-08,3.1622776601683E-07,8.61607795568887E-17,3.67020548842722E-07,0.139537320901752,0.860380146411601,8.21656660983097E-05,1.86056363622966,18.6056363622966
7.59999999999999,2.51188643150964E-08,3.98107170553487E-07,6.64772365926284E-17,2.38411413244121E-07,0.114110876731802,0.885782390390308,0.000106494466478,1.88602082496429,18.8602082496429
7.69999999999999,1.99526231496893E-08,5.01187233627259E-07,5.15669024530739E-17,1.54038384494238E-07,0.092817305200408,0.907045253906518,0.000137286854689,1.9073529141504,19.073529141504
7.79999999999999,1.58489319246116E-08,6.30957344480176E-07,4.0180558069036E-17,9.90795523221763E-08,0.075159526535532,0.924664183257066,0.00017619112785,1.92505906305409,19.2505906305409
7.89999999999999,1.2589254117942E-08,7.94328234724259E-07,3.14246344377342E-17,6.34935728185645E-08,0.06063589130174,0.939138761507024,0.000225283697663,1.93964351530725,19.3964351530725
7.99999999999999,1.00000000000003E-08,9.99999999999971E-07,2.46516330456612E-17,4.05652638974394E-08,0.04877017406476,0.95094260529429,0.000287180075686,1.95158574557928,19.5158574557928
8.09999999999999,7.94328234724305E-09,1.25892541179413E-06,1.93865289006895E-17,2.58523450069234E-08,0.039129107583681,0.960505692484585,0.000365174079388,1.96132309969897,19.6132309969897
8.19999999999999,6.30957344480212E-09,1.58489319246107E-06,1.52767936830377E-17,1.64424975791801E-08,0.031330533242333,0.968206037769925,0.000463412545245,1.9692428617441,19.692428617441
8.29999999999999,5.01187233627288E-09,1.99526231496882E-06,1.20580503051723E-17,1.04405387266818E-08,0.025045107989861,0.974367766931274,0.000587114638326,1.97568081928577,19.7568081928577
8.39999999999999,3.9810717055351E-09,2.5118864315095E-06,9.53016860070612E-18,6.62063150103665E-09,0.019993987491703,0.979263158815336,0.00074284707233,1.98092392130455,19.8092392130455
8.49999999999999,3.16227766016848E-09,3.16227766016828E-06,7.54040834593779E-18,4.19377507833815E-09,0.015944288153376,0.983116838361022,0.000938869291828,1.98521524376017,19.8521524376017
