C_b =,,pH,[H3O+],[OH-],D,alpha H3PO4,alpha H2PO4,alpha HPO4,alpha PO4,phi,V_b
,,5.97388225824501,1.06198343293769E-06,9.41634275059992E-09,1.60499811937792E-14,7.46240297249187E-05,0.844813714823428,0.155111220058614,4.41088232962248E-07,1.15497269298838,11.5497269298838
,,6.07388225824501,8.43563425591826E-07,1.1854473174894E-08,1.05334177841604E-14,5.69880655838736E-05,0.812205963067536,0.187736376771841,6.72095039701845E-07,1.18762926982976,11.8762926982976
,,6.17388225824501,6.70066246728323E-07,1.49238975233063E-08,6.96912889273943E-15,4.3169272361127E-05,0.774563426847832,0.22539238804871,1.015831096368E-06,1.22531046579331,12.2531046579331
,,6.27388225824501,5.32252538912034E-07,1.87880738351024E-08,4.65380776307915E-15,3.23999832390584E-05,0.731858369527817,0.268107709270577,1.52121836660424E-06,1.26804616753435,12.6804616753435
,,6.37388225824501,4.22783219661514E-07,2.36527835896754E-08,3.14017864460658E-15,2.40657205560832E-05,0.684354500663119,0.315619179140181,2.25447614453424E-06,1.31557441499221,13.1557441499221
,,6.473882258245,3.35828648544778E-07,2.97770903207105E-08,2.14322857295366E-15,1.7671960605358E-05,0.632655070311815,0.367323954553138,3.30317444120528E-06,1.36729340174074,13.6729340174074
,,6.573882258245,2.66758177568415E-07,3.74871356940325E-08,1.48089874210562E-15,1.28182241291133E-05,0.577710311483714,0.422272089777701,4.78051445554978E-06,1.42225410821358,14.2225410821358
,,6.673882258245,2.11893552286186E-07,4.71935077405937E-08,1.03654680002072E-15,9.17834356060363E-06,0.520770731933824,0.479213259873887,6.82984872820009E-06,1.47920706997085,14.7920706997085
,,6.773882258245,1.68313031336943E-07,5.9413106166338E-08,7.35168921856461E-16,6.4858378320154E-06,0.463285111805641,0.536698772654246,9.62970228116311E-06,1.53670442775475,15.3670442775475
,,6.873882258245,1.33695793062967E-07,7.47966691464276E-08,5.28322538629529E-16,4.52328640112724E-06,0.406758226498768,0.593223850336298,1.33998785329233E-05,1.59324224344504,15.9324224344504
,,6.973882258245,1.0619834329377E-07,9.41634275059984E-08,3.84553936012239E-16,3.11455471268633E-06,0.352596683205745,0.647381792707924,1.84095316179941E-05,1.64741469720569,16.4741469720569
,,7.073882258245,8.43563425591833E-08,1.18544731748939E-07,2.83311296076951E-16,2.11879692697831E-06,0.301975419061762,0.697997473875958,2.49882653528877E-05,1.69804762156433,16.9804762156433
,,7.173882258245,6.70066246728329E-08,1.49238975233062E-07,2.11066564258495E-16,1.42539025234722E-06,0.255750235773657,0.744214797484486,3.35413516049426E-05,1.74428600078235,17.4428600078235
,,7.273882258245,5.32252538912039E-08,1.87880738351022E-07,1.58838685731447E-16,9.49285703462076E-07,0.214426866219578,0.785527614383783,4.45701109351335E-05,1.78562494253609,17.8562494253609
,,7.373882258245,4.22783219661517E-08,2.36527835896753E-07,1.20607169528159E-16,6.26585152880483E-07,0.178181396407036,0.821759278525195,5.86984826154011E-05,1.82188930039208,18.2188930039208
,,7.473882258245,3.35828648544781E-08,2.97770903207102E-07,9.22922810609202E-17,4.1038156684539E-07,0.146916340990781,0.853006541694392,7.67069332609559E-05,1.85317765045495,18.5317765045495
,,7.573882258245,2.66758177568417E-08,3.74871356940322E-07,7.1096623833924E-17,2.66995687913027E-07,0.120333488067751,0.879566669774449,9.95751621114729E-05,1.87978950822316,18.7978950822316
,,7.673882258245,2.11893552286188E-08,4.71935077405933E-07,5.50778184339091E-17,1.72733469076137E-07,0.098007374126156,0.901863917587495,0.00012853555288,1.90215192711434,19.0215192711434
,,7.773882258245,1.68313031336945E-08,5.94131061663375E-07,4.28694381930045E-17,1.1122577312144E-07,0.07944886392607,0.920385884875667,0.00016513997249,1.92075600710259,19.2075600710259
,,7.873882258245,1.33695793062968E-08,7.4796669146427E-07,3.34974302944467E-17,7.13414173381595E-08,0.064154037173384,0.935634548173738,0.00021134331146,1.93610811590516,19.3610811590516
,,7.973882258245,1.0619834329377E-08,9.41634275059976E-07,2.62583267279238E-17,4.56127416685444E-08,0.05163788376791,0.948092462509236,0.000269608110113,1.94869632648296,19.4869632648296
,,8.073882258245,8.43563425591838E-09,1.18544731748938E-06,2.06376674299243E-17,2.90865770341711E-08,0.041454804739085,0.958202130418583,0.000343035755755,1.9589700807344,19.589700807344
,,8.173882258245,6.70066246728333E-09,1.49238975233061E-06,1.62547690319648E-17,1.85085511026862E-08,0.033208914544953,0.966355535821451,0.000435531125045,1.96733009242603,19.6733009242603
,,8.273882258245,5.32252538912042E-09,1.87880738351021E-06,1.28248898122334E-17,1.17570829636089E-08,0.026557172899328,0.972890806090684,0.000552009252905,1.97412547202412,19.7412547202412
,,8.373882258245,4.2278321966152E-09,2.36527835896751E-06,1.01329851338895E-17,7.45788736080759E-09,0.02120792007417,0.978093417752644,0.000698654715298,1.97965551291861,19.7965551291861
,,8.473882258245,3.35828648544783E-09,2.977709032071E-06,8.0152638873568E-18,4.72536543297844E-09,0.016916778319116,0.982199969947892,0.000883247007626,1.98417419307496,19.8417419307496
,,8.573882258245,2.66758177568419E-09,3.7487135694032E-06,6.34605458996527E-18,2.99122733971573E-09,0.013481297102778,0.985403131525124,0.00111556838087,1.98789603509468,19.8789603509468
,,8.673882258245,2.11893552286189E-09,4.7193507740593E-06,5.0283295014285E-18,1.89203643964305E-09,0.010735239915704,0.987856843726465,0.001407914465794,1.99100245255954,19.9100245255954
,,8.773882258245,1.68313031336946E-09,5.94131061663372E-06,3.98678132476699E-18,1.19599898210557E-09,0.008543052362628,0.989681213772049,0.001775732669324,1.99364807455803,19.9364807455803
,,8.873882258245,1.33695793062969E-09,7.47966691464266E-06,3.16270471996944E-18,7.55604574560209E-10,0.006794802482679,0.99096677791751,0.002238418844207,1.99596679633101,19.9596679633101
,,8.973882258245,1.06198343293771E-09,9.41634275059971E-06,2.51017086816167E-18,4.7714451987334E-10,0.00540172161471,0.991777968767587,0.002820309140559,1.99807747521416,19.9807747521416
,,9.073882258245,8.43563425591845E-10,1.18544731748937E-05,1.99314045300228E-18,3.01172505230079E-10,0.004292374239302,0.992155714286795,0.003551911172731,2.0000893009893,20.000893009893
,,9.173882258245,6.70066246728338E-10,1.4923897523306E-05,1.58326609425584E-18,1.90020000037893E-10,0.003409428381552,0.992119145008368,0.00447142642006,2.00210693800361,20.0210693800361
